Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2014-03-12,ARROZ E FEIJÃO,FILÉ DE PESCADA A PORTUGUESA,"FOLHAS REFOGADAS(ESCAROLA,REPOLHO.ACELGA)","ALMEIRÃO/SALADA DELICIA(QUIABO,PIMENTÕES E MUSSA",FLAN DE CARAMELO,CAJÚ,PÃO E CAFÉ,
2014-03-13,ARROZ E FEIJÃO,LASANHA,REFOGADO VEGETARIANO,CATALONIA/CEBOLA CURTIDA,PUDIM DE MORANGO,MANGA,PÃO E CAFÉ,
2014-03-14,ARROZ E FEIJÃO,PERNIL ASSADO AO MOLHO DE ABACAXI,CHUCHU NA SALSA,REPOLHO BICOLOR/RABANETE RALADO,SALADA DE FRUTAS,MANGA,PÃO E CAFÉ,
2014-03-17,ARROZ E FEIJÃO,CUBOS DE CARNE COM MANDIOCA,"JARDINEIRA DE LEGUMES(BATATA,ERVILHA,MILHO E CENOU",CATALONIA/CENOURA COZIDA,DOCE DE ABÓBORA COM COCO,MARACUJÁ,PÃO E CAFÉ,
2014-03-18,ARROZ E FEIJÃO,FILÉ DE FRANGO GRATINADO,COUVE REFOGADA,ALFACE/GRÃO DE BICO TEMPERADO,LARANJA,LIMÃO,PÃO E CAFÉ,
2014-03-25,ARROZ E FEIJÃO,Bife acebolado,Couve refogada,Multicor (alface com cenoura e milho),Laranja pera,Manga,PÃO E CAFÉ,
2014-03-27,ARROZ E FEIJÃO,Cozido misto (patinho em cubos/paleta suina com le,-----,Escarola com abacaxí,Banana nanica,,PÃO E CAFÉ,
2014-03-28,ARROZ E FEIJÃO,FRANGO FRITO,Batata sauté,ALMEIRÃO/VINAGRETE,LARANJA,ABACAXI,PÃO E CAFÉ,
2014-03-31,ARROZ E FEIJÃO,Bife,Purê de batata,Cenoura com maçã,Laranja pera,Manga,PÃO E CAFÉ,
2014-04-02,ARROZ E FEIJÃO,Frango ao molho de laranja,-,Beterraba com cebola,Arroz doce/maçã,Acerola,PÃO E CAFÉ,
2014-04-03,ARROZ E FEIJÃO,Carne á caçadora,Macarrão ao alho e oleo,Alface com cenoura,Maçã,Abacaxi,PÃO E CAFÉ,
2014-04-04,ARROZ E FEIJÃO,ISCA DE FRANGO,_,BERINJELA,LARANJA,ACEROLA,PÃO E CAFÉ,
2014-04-07,ARROZ E FEIJÃO,Bife,-,Alface/Vinagrete,Melancia,Maracujá,PÃO E CAFÉ,
2014-04-08,ARROZ E FEIJÃO,BIFE AO MOLHO,-,ALFACE COM AGRIÃO,SAGÚ,ACEROLA,PÃO E CAFÉ,
2014-04-09,ARROZ E FEIJÃO,SALSICHA AO SUGO,-,"FESTIVA(ALFACE ,PEPINO, MAÇA E CEBOLA)",MELANCIA,LARANJA,PÃO E CAFÉ,
2014-04-10,ARROZ E FEIJÃO,ISCA DE CARNE,QUIBEBE,BATATA/CENOURA E VAGEM,MAÇÃ,ACEROLA,PÃO E CAFÉ,
2014-04-11,ARROZ E FEIJÃO,CARNE COM MANDIOCA E CALABRESA,COUVE REFOGADA,ALFACE COM CEBOLA,LARANJA,MANGA,PÃO E CAFÉ,
2014-04-14,ARROZ E FEIJÃO,ISCA DE FRANGO FRITA,ABOBRINHA REFOGADA,PEPINO,TANGERINA PONKAN,MARACUJÁ,PÃO E CAFÉ,
2014-04-15,ARROZ E FEIJÃO,CARNE EM CUBOS,VAGEM COM ABOBRINHA SAUTÊ,ESCAROLA,BANANA,TANGERINA,PÃO E CAFÉ,
2014-04-16,ARROZ E FEIJÃO,FRANGO FRITO,CUSCUZ DE LEGUMES,VINAGRETÂO,BANANA,MARACUJÁ,PÃO E CAFÉ,
2014-04-22,ARROZ E FEIJÃO,NUGGETS,JARDINEIRA DE LEGUMES,ALFACE COM PEPINO,BANANA,ABACAXI,PÃO E CAFÉ,
2014-04-23,ARROZ E FEIJÃO,NUGGETS,PURÊ DE BATATA,BETERRABA E ESCAROLA,MELANCIA,LARANJA,PÃO E CAFÉ,
2014-04-24,ARROZ E FEIJÃO,BIFE AO MOLHO DE MOSTARDA,QUIABO REFOGADO,BERINJELA AO VINAGRETE,LARANJA,MARACUJÁ,PÃO E CAFÉ,
2014-04-25,ARROZ E FEIJÃO,FRANGO FRITO,BATATA SAUTÊ,CENOURA RALADA COM MAÇÃ/ESCAROLA COM VINAGRETE,ABACAXI,UVA,PÃO E CAFÉ,
2014-04-28,ARROZ E FEIJÃO,COZIDO MISTO,-,COUVE,MAÇÃ,,PÃO E CAFÉ,
2014-04-29,ARROZ E FEIJÃO,OVOS MEXIDOS,-,ACELGA,DOCE DE BANANA,MANGA,PÃO E CAFÉ,
2014-04-30,ARROZ E FEIJÃO,PALETA SUÍNA AO MOLHO DE TOMATE,BERINJELA REFOGADA,BETERRABA/ALFACE/ERVILHA,IOGURTE,LARANJA,PÃO E CAFÉ,
2014-05-05,ARROZ E FEIJÃO,Carne em cubos acebolada,Purê de batata,Couve e vinagrete,Banana nanica,Maracujá,PÃO E CAFÉ,
2014-05-06,ARROZ E FEIJÃO,Salsicha com palmito e ervilha,Macarrão parafuso com abobrinha,Alface e vinagrete,Iogurte,Abacaxí,PÃO E CAFÉ,
2014-05-07,ARROZ E FEIJÃO,Rolê de carne bovina,-----,Berinjela,Doce de banana,Acerola,PÃO E CAFÉ,
2014-05-08,ARROZ E FEIJÃO,Bife à california,----,Escarola,Laranja pera,Tangerina,PÃO E CAFÉ,
2014-05-09,ARROZ E FEIJÃO,Frango frito,Mandioquinha sautê,Escarola,Doce,Uva,PÃO E CAFÉ,
2014-05-12,ARROZ E FEIJÃO,FRICASSÊ DE FRANGO,-,SALADA MULTICOR,LARANJA,CAJÚ,PÃO E CAFÉ,
2014-05-13,ARROZ E FEIJÃO,BIFE À MILANESA,CREME DE MILHO,PEPINO,MAÇÃ,ACEROLA,PÃO E CAFÉ,
2014-05-14,ARROZ E FEIJÃO,PALETA EM CUBOS FRITA,POLENTA AO SUGO,ALFACE/ PEPINO/VINAGRETE,LARANJA,SUCO DE LARANJA,PÃO E CAFÉ,
2014-05-15,ARROZ E FEIJÃO,"COZIDO A NORDESTINA(carne bovina ,linguiça de frango,abobora e pimentão vermelho)",BERINJELA REFOGADA,AGRIÃO/ALFACE,MAÇÃ,CAJÚ,PÃO E CAFÉ,
2014-05-16,ARROZ E FEIJÃO,SALSICHA AO MOLHO,VAGEM COM BRÒCOLIS,ESCAROLACOM VINAGRETE/AGRIÃO,ABACAXI,MANGA,PÃO E CAFÉ,
2014-05-19,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO FRITA,FAROFA DE FRUTAS,ALFACE COM RUCULA,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2014-05-20,ARROZ E FEIJÃO,PERNIL AO MOLHO,CHUCHU REFOGADO,ALMEIRÃO/COUVE FLOR,LARANJA,CAJÚ,PÃO E CAFÉ,
2014-05-21,ARROZ E FEIJÃO,ISCA DE FRANGO COM QUIABO,-,ESCAROLA,MELANCIA,MANGA,PÃO E CAFÉ,
2014-05-22,ARROZ E FEIJÃO,ISCA DE CARNE COM CENOURA,CENOURA AO MOLHO BECHAMEL,ALFACE/VINAGRETE,BANANA,TANGERINA,PÃO E CAFÉ,
2014-05-23,ARROZ E FEIJÃO,FEIJOADA,COUVE REFOGADA,ALFACE,TANGERINA,ABACAXI,PÃO E CAFÉ,
2014-05-26,ARROZ E FEIJÃO,ROLÊ BOVINO AO MOLHO DE TOMATE,-,ESCAROLA COM RABANETE,BANANA,ACEROLA,PÃO E CAFÉ,
2014-05-27,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA FRITA,ALFACE COM AGRIÃO,LARANJA PERA,,PÃO E CAFÉ,
2014-05-28,ARROZ E FEIJÃO,BIFE ACEBOLADO,VIRADO DE BANANA,BETERRABA COZIDA,MAÇÃ,ACEROLA,PÃO E CAFÉ,
2014-05-29,ARROZ E FEIJÃO,FRANGO FRITO,ABOBRINHA REFOGADA,ESCAROLA,SAGU,,PÃO E CAFÉ,
2014-05-30,ARROZ E FEIJÃO,NUGGETS,MACARRÃO AO ALHO E OLEO,ALMEIRÃO/VINAGRETE,MELANCIA,TANGERINA,PÃO E CAFÉ,
2014-06-02,ARROZ E FEIJÃO,NUGGETS,PURÊ DE BATATA,BETERRABA/ALMEIRÃO/VINAGRETE,Melancia,Limão,PÃO E CAFÉ,
2014-06-03,ARROZ E FEIJÃO,BIFE ACEBOLADO,VAGEM COM CENOURA SAUTÊ,ALFACE COM TOMATE,MAÇÃ,MARACAUJÁ,PÃO E CAFÉ,
2014-06-04,ARROZ E FEIJÃO,FRANGO FRITO,CREME DE ERVILHA,ALMEIRÃO,TANGERINA PONKAN,LIMÃO,PÃO E CAFÉ,
2014-06-06,ARROZ E FEIJÃO,ISCA DE CARNE ACEBOLADA,VIRADO DE VAGEM,ALFACE/VINAGRETE,LARANJA,MARACUJÁ,PÃO E CAFÉ,
2014-06-09,ARROZ E FEIJÃO,ISCA DE FRANGO À SUIÇA (ao molho com milho verde),ABOBRINHA REFOGADA,ESCAROLA COM TOMATE,IOGURTE,LARANJA,PÃO E CAFÉ,
2014-06-10,ARROZ E FEIJÃO,Carne picada com mandioca,-,Alface com agrão,maçã,,PÃO E CAFÉ,
2014-06-11,ARROZ E FEIJÃO,CARNE EM CUBOS COM BATATA,COUVE REFOGADA,ESCAROLA COM REPOLHO ROXO,BANANA NANICA,LARANJA,PÃO E CAFÉ,Seria linguiça mas o fornecedor não entregou o produto.
2014-06-13,ARROZ E FEIJÃO,CARNE EM CUBOS COM BRÓCOLIS E VAGEM,-----,ALFACE,MELANCIA,MARACUJÁ,PÃO E CAFÉ,
2014-06-16,ARROZ E FEIJÃO,CARNE COM LEGUMES,------,ALMEIRÃO,BANANA NANICA,CAJU,PÃO E CAFÉ,
2014-06-18,ARROZ E FEIJÃO,BIFE ACEBOLADO,MACARRÃO AO SUGO,ESCAROLA COM TOMATE,MAÇÃ,LARANJA,PÃO E CAFÉ,
2014-06-24,ARROZ E FEIJÃO,NUGGETS,CREME DE MILHO,ALMEIRÃO,GOIABADA,MARACUJÁ,PÃO E CAFÉ,
2014-06-25,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO FRITA,ABOBRINHA COM CHUCHU,ESCAROLA,MELANCIA,Abacaxi,PÃO E CAFÉ,
2014-06-26,ARROZ E FEIJÃO,ROLÊ DE CARNE AO MOLHO INGLÊS,MACARRÃO COM ERVAS,TOMATE/VAGEM/REPOLHO,ABACAXÍ,MANGA,PÃO E CAFÉ,
2014-06-27,ARROZ E FEIJÃO,FEIJOADA,COUVE REFOGADA,VINAGRETE,LARANJA PERA,CAJU,PÃO E CAFÉ,
2014-06-30,ARROZ E FEIJÃO,LINGUIÇA DE FRANGO ACEBOLADA,ABÓBOBRA JAPONESA,TOMATE COM REPOLHO,IOGURTE,Maracujá,PÃO E CAFÉ,"Haverá repetição do prato principal no jantar, devido a não entrega de produto por parte do fornecedor."
2014-07-01,ARROZ E FEIJÃO,ISCA DE FRANGO COM MILHO E AZEITONA,MACARRÃO AO SUGO,AGRIÃO,BANANA NANICA,CAJU,PÃO E CAFÉ,
2014-07-02,ARROZ E FEIJÃO,BIFE COM BACON,ABOBRINHA REFOGADA,ALFACE,LARANJA PERA,ABACAXI,PÃO E CAFÉ,
2014-07-03,ARROZ E FEIJÃO,SOBRE COXA DE FRANGO AO MOLHO,MANDIOCA COZIDA,ESCAROLA,NÃO DEFINIDA,LARANJA,PÃO E CAFÉ,
2014-07-07,ARROZ E FEIJÃO,NUGGETS,CREME DE MILHO,COUVE,GOIABADA,MANGA,PÃO E CAFÉ,
2014-07-10,ARROZ E FEIJÃO,SALSICHA ACEBOLADA,BATATA SAUTÊ,ALFACE/TOMATE/AZEITONA,MAÇÃ,ABACAXI,PÃO E CAFÉ,
2014-07-15,ARROZ E FEIJÃO,BIFE AO MOLHO INGLÊS,ABOBRINHA REFOGADA,RÚCULA E AGRIÃO/ACELGA E NABO,DOCE DE ABÓBORA EM CALDA,MANGA,PÃO E CAFÉ,
2014-07-16,ARROZ E FEIJÃO,CARNE EM CUBOS COM MANDIOQUINHA,-------,ALFACE / VINAGRETE,ABACAXÍ,,PÃO E CAFÉ,
2014-07-18,ARROZ E FEIJÃO,ROLÊ DE CARNE BOVINA,CENOURA SAUTÊ,COUVE COM CEBOLA,MELANCIA,TANGERINA,PÃO E CAFÉ,
2014-07-23,ARROZ E FEIJÃO,ISCA DE FRANGO COM MILHO E AZEITONA,COUVE FLOR GRATINADA,ESCAROLA COM BETERRABA,MAÇÃ,LARANJA,PÃO E CAFÉ,
2014-07-24,ARROZ E FEIJÃO,BIFE À PIZZAIOLO,MACARRÃO AO ALHO E ÓLEO,REPOLHO ROXO / ABOBRINHA RALADA,BANANA NANICA,TANGERINA,PÃO E CAFÉ,
2014-07-25,ARROZ E FEIJÃO,FEIJOADA,COUVE REFOGADA / FAROFA,VINAGRETE,TANGERINA PONKAN,UVA,PÃO E CAFÉ,
2014-07-28,ARROZ E FEIJÃO,STROGONOFF DE FRANGO,BATATA FRITA,ALFACE/AGRIÃO/CENOURA,LARANJA PERA,MANGA,PÃO E CAFÉ,
2014-07-29,ARROZ E FEIJÃO,SALSICHA COM PRESUNTO E ERVILHA,PURÊ DE BATATA,ALFACE / VAGEM,BANANA CARAMELIZADA,,PÃO E CAFÉ,
2014-07-30,ARROZ E FEIJÃO,FRANGO FRITO,CREME DE ESPINAFRE,AGRIÃO/ABÓBORA COM SALSA,SAGU,TANGERINA,PÃO E CAFÉ,
2014-08-01,ARROZ E FEIJÃO,FEIJOADA,FAROFA,ALMEIRÃO,MAÇÃ,UVA,PÃO E CAFÉ,
2014-08-04,ARROZ E FEIJÃO,CARNE ASSADA AO MOLHO DE LARANJA,FAROFA COM CARNE E OVOS,PEPINO COM COUVE E CEBOLA,BANANA NANICA,LARANJA,PÃO E CAFÉ,
2014-08-05,ARROZ E FEIJÃO,CARNE EM CUBOS COM BATATA,REPOLHO REFOGADA,ALFACE,MELANCIA,CAJU,PÃO E CAFÉ,
2014-08-06,ARROZ E FEIJÃO,FRANGO AO MOLHO,BATATA AO MOLHO BECHAMEL,ALFACE/ABOBRINHA ITALIANA,MAÇÃ,ABACAXÍ,PÃO E CAFÉ,
2014-08-07,ARROZ E FEIJÃO,BIFE ACEBOLADO,CREME DE ERVILHA,COUVE COM LARANJA,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2014-08-08,ARROZ E FEIJÃO,FRANGO,ACELGA REFOGADA,RÚCULA,LARANJA PONKAN,MANGA,PÃO E CAFÉ,
